NFC ;Serial;Helmet;Customer Name;date of manufacture;state
http://www.veldt.xyz/check?serial=YAA001R;YAA001R;Carbon mat - fullface;John Doe;Dec2017;0
http://www.veldt.xyz/check?serial=XAA002G;XAA002G;;;;0
http://www.veldt.xyz/check?serial=EAA003H;EAA003H;;;;
http://www.veldt.xyz/check?serial=VAA004U;VAA004U;;;;
http://www.veldt.xyz/check?serial=XAA005B;XAA005B;;;;
http://www.veldt.xyz/check?serial=QAA006I;QAA006I;;;;
http://www.veldt.xyz/check?serial=PAA007U;PAA007U;;;;
http://www.veldt.xyz/check?serial=SAA008X;SAA008X;;;;
http://www.veldt.xyz/check?serial=NAA009X;NAA009X;;;;
http://www.veldt.xyz/check?serial=FAA010O;FAA010O;;;;
http://www.veldt.xyz/check?serial=QAA011D;QAA011D;;;;
http://www.veldt.xyz/check?serial=WAA012L;WAA012L;;;;
http://www.veldt.xyz/check?serial=ZAA013S;ZAA013S;;;;
http://www.veldt.xyz/check?serial=ZAA014V;ZAA014V;;;;
http://www.veldt.xyz/check?serial=FAA015H;FAA015H;;;;
http://www.veldt.xyz/check?serial=GAA016U;GAA016U;;;;
http://www.veldt.xyz/check?serial=OAA017A;OAA017A;;;;
http://www.veldt.xyz/check?serial=VAA018I;VAA018I;;;;
http://www.veldt.xyz/check?serial=QAA019S;QAA019S;;;;
http://www.veldt.xyz/check?serial=WAA020O;WAA020O;;;;
http://www.veldt.xyz/check?serial=AAA021T;AAA021T;;;;
http://www.veldt.xyz/check?serial=EAA022X;EAA022X;;;;
http://www.veldt.xyz/check?serial=LAA023S;LAA023S;;;;
http://www.veldt.xyz/check?serial=EAA024T;EAA024T;;;;
http://www.veldt.xyz/check?serial=OAA025Z;OAA025Z;;;;
http://www.veldt.xyz/check?serial=CAA026K;CAA026K;;;;
http://www.veldt.xyz/check?serial=GAA027C;GAA027C;;;;
http://www.veldt.xyz/check?serial=XAA028P;XAA028P;;;;
http://www.veldt.xyz/check?serial=NAA029P;NAA029P;;;;
http://www.veldt.xyz/check?serial=EAA030N;EAA030N;;;;
http://www.veldt.xyz/check?serial=NAA031X;NAA031X;;;;
http://www.veldt.xyz/check?serial=RAA032S;RAA032S;;;;
http://www.veldt.xyz/check?serial=XAA033L;XAA033L;;;;
http://www.veldt.xyz/check?serial=YAA034G;YAA034G;;;;
http://www.veldt.xyz/check?serial=FAA035S;FAA035S;;;;
http://www.veldt.xyz/check?serial=KAA036R;KAA036R;;;;
http://www.veldt.xyz/check?serial=VAA037O;VAA037O;;;;
http://www.veldt.xyz/check?serial=UAA038M;UAA038M;;;;
http://www.veldt.xyz/check?serial=FAA039E;FAA039E;;;;
http://www.veldt.xyz/check?serial=DAA040F;DAA040F;;;;
http://www.veldt.xyz/check?serial=AAA041S;AAA041S;;;;
http://www.veldt.xyz/check?serial=DAA042O;DAA042O;;;;
http://www.veldt.xyz/check?serial=VAA043G;VAA043G;;;;
http://www.veldt.xyz/check?serial=BAA044J;BAA044J;;;;
http://www.veldt.xyz/check?serial=LAA045I;LAA045I;;;;
http://www.veldt.xyz/check?serial=QAA046Y;QAA046Y;;;;
http://www.veldt.xyz/check?serial=VAA047M;VAA047M;;;;
http://www.veldt.xyz/check?serial=HAA048D;HAA048D;;;;
http://www.veldt.xyz/check?serial=AAA049L;AAA049L;;;;
http://www.veldt.xyz/check?serial=EAA050V;EAA050V;;;;
http://www.veldt.xyz/check?serial=JAA051O;JAA051O;;;;
http://www.veldt.xyz/check?serial=HAA052F;HAA052F;;;;
http://www.veldt.xyz/check?serial=GAA053Q;GAA053Q;;;;
http://www.veldt.xyz/check?serial=BAA054T;BAA054T;;;;
http://www.veldt.xyz/check?serial=VAA055H;VAA055H;;;;
http://www.veldt.xyz/check?serial=WAA056G;WAA056G;;;;
http://www.veldt.xyz/check?serial=HAA057O;HAA057O;;;;
http://www.veldt.xyz/check?serial=GAA058K;GAA058K;;;;
http://www.veldt.xyz/check?serial=LAA059R;LAA059R;;;;
http://www.veldt.xyz/check?serial=LAA060J;LAA060J;;;;
http://www.veldt.xyz/check?serial=MAA061V;MAA061V;;;;
http://www.veldt.xyz/check?serial=EAA062I;EAA062I;;;;
http://www.veldt.xyz/check?serial=XAA063B;XAA063B;;;;
http://www.veldt.xyz/check?serial=IAA064D;IAA064D;;;;
http://www.veldt.xyz/check?serial=BAA065N;BAA065N;;;;
http://www.veldt.xyz/check?serial=QAA066S;QAA066S;;;;
http://www.veldt.xyz/check?serial=HAA067N;HAA067N;;;;
http://www.veldt.xyz/check?serial=CAA068L;CAA068L;;;;
http://www.veldt.xyz/check?serial=LAA069P;LAA069P;;;;
http://www.veldt.xyz/check?serial=PAA070R;PAA070R;;;;
http://www.veldt.xyz/check?serial=KAA071G;KAA071G;;;;
http://www.veldt.xyz/check?serial=VAA072B;VAA072B;;;;
http://www.veldt.xyz/check?serial=MAA073W;MAA073W;;;;
http://www.veldt.xyz/check?serial=CAA074R;CAA074R;;;;
http://www.veldt.xyz/check?serial=PAA075L;PAA075L;;;;
http://www.veldt.xyz/check?serial=GAA076P;GAA076P;;;;
http://www.veldt.xyz/check?serial=EAA077Y;EAA077Y;;;;
http://www.veldt.xyz/check?serial=EAA078I;EAA078I;;;;
http://www.veldt.xyz/check?serial=HAA079I;HAA079I;;;;
http://www.veldt.xyz/check?serial=PAA080K;PAA080K;;;;
http://www.veldt.xyz/check?serial=NAA081C;NAA081C;;;;
http://www.veldt.xyz/check?serial=VAA082C;VAA082C;;;;
http://www.veldt.xyz/check?serial=TAA083F;TAA083F;;;;
http://www.veldt.xyz/check?serial=CAA084U;CAA084U;;;;
http://www.veldt.xyz/check?serial=RAA085E;RAA085E;;;;
http://www.veldt.xyz/check?serial=CAA086V;CAA086V;;;;
http://www.veldt.xyz/check?serial=OAA087V;OAA087V;;;;
http://www.veldt.xyz/check?serial=FAA088G;FAA088G;;;;
http://www.veldt.xyz/check?serial=VAA089F;VAA089F;;;;
http://www.veldt.xyz/check?serial=WAA090K;WAA090K;;;;
http://www.veldt.xyz/check?serial=EAA091A;EAA091A;;;;
http://www.veldt.xyz/check?serial=SAA092G;SAA092G;;;;
